ID,EN,PT
91,how much is a double room per night,quanto custa um quarto duplo por noite
92,id like a room with a nice view,eu gostaria de um quarto com uma bela vista
93,can i have an extra bed for my room,posso ter uma cama extra no meu quarto
94,im arriving late please keep my reservation,estou chegando atrasado por favor mantenha minha reserva
95,when does the diningroom open,quando a sala de jantar abre
96,when is breakfast served,quando o cafe da manha sera servido
97,where can i keep my valuables,onde posso guardar meus objetos de valor
98,id like to order room service please,eu gostaria de pedir servico de quarto por favor
99,i would like to have a wakeup call at,eu gostaria de ter uma chamada de despertar as
100,what is the checkout time at this hotel,qual e o horario do checkout neste hotel
101,do you have a bus service to and from the airport,voce tem um servico de onibus para o aeroporto
102,could you show me my room,voce poderia me mostrar o meu quarto
103,where is the elevator,onde fica o elevador
104,where is the emergency exit,onde e a saida de emergencia
105,the bed sheets are dirty,os lencois da cama sao sujos
106,there is no hot water in my room,nao ha agua quente no meu quarto
107,where can i get some ice,onde posso obter gelo
108,the air conditioner is not working,o ar condicionado nao esta funcionando
109,i would like to check out,gostaria de fazer checkout
110,may i try this on,posso experimentar isso
111,can i pay by credit card,posso pagar com cartao de credito
112,its too expensive,e muito caro
113,is this your final price,este e o seu preco final
114,ill take this one,eu vou pegar esse aqui
115,where is the cashier,onde esta o caixa
116,where can i change money,onde posso trocar dinheiro
117,is there an atm machine around here,existe um caixa eletronico por aqui
118,are you sure,voce tem certeza
119,are you used to the weather,voce esta acostumado com o clima
120,as far as i am concerned,tanto quanto eu estou preocupado
121,be careful with that,tenha cuidado com isso
122,by the way,a proposito
123,dont worry,nao se preocupe
124,dont panic,nao entre em panico
125,do you agree,voce concorda
126,do you carry this in different sizes,voce carrega isso em tamanhos diferentes
127,do you mind,voce se importa
128,should we,nos deveriamos
129,help yourself,fique a vontade
130,how about you,e quanto a voce
131,how come,por que
132,how do you like it,como e que voce gosta
133,how long does it take,quanto tempo leva
134,how often,com que frequencia
135,i bet,eu aposto
136,i can hardly believe that,eu mal posso acreditar nisso
137,i cant help,nao posso ajudar
138,i cant say,eu nao posso dizer
139,i cannot wait,eu nao posso esperar
140,i have no idea,eu nao faco ideia
141,i have got to go,eu tenho que ir
142,ill let you know,eu aviso voce
143,id be grateful,eu ficaria grato
144,im afraid,estou com medo
145,im looking forward to it,estou ansioso para isso
146,im not really happy with that,eu nao estou muito feliz com isso
147,its my fault,e minha culpa
148,its on the tip of my tongue,esta na ponta da lingua
149,its up to you,voce decide
150,its your turn,e sua vez
151,it may surprise you,pode te surpreender
152,ive had enough,eu ja tive o suficient
153,on the other hand,por outro lado
154,see that,veja isso
155,there is nothing i like better,nao ha nada que eu goste melhor
156,we might as well,nos tambem podemos
157,what can i do for you,o que posso fazer para voce
158,what do you say,o que voce disse
159,whats your favorite,qual e o seu favorito
160,he is ill in bed,ele esta doente na cama
161,i like icecream,eu gosto de sorvete
162,i love this game,eu amo este jogo
163,ill try my best,eu vou tentar o meu melhor
164,im on your side,estou no seu lado
165,easy come easy go,assim como vem tambem vai
166,ill check it out,eu vou dar uma olhada
167,its a long story,e uma longa historia
168,thats all i need,isso e tudo que preciso
169,the view is great,a vista e otima
170,the walls have ears,as paredes tem ouvidos
171,here comes a bus,aqui vem um onibus
172,he is just a child,ele e apenas uma crianca
173,it seems all right,parece tudo bem
174,thats a good idea,essa e uma boa ideia
175,i am a football fan,eu sou um fa de futebol
176,if only i could fly,se eu pudesse voar
177,ill be right there,eu estarei la
178,knowledge is power,conhecimento e poder
179,we are good friends,nos somos bons amigos
180,he cant take a joke,ele nao pode levar uma piada
181,its against the law,e contra a lei
182,my mouth is watering,estou ficando com agua na boca
183,speak louder please,fale mais alto por favor
184,speak slower please,falar mais devagar por favor
185,i will be more careful,eu serei mais cuidadoso
186,i will never forget it,eu nunca esquecerei
187,it is just what i need,e exatamente o que eu preciso
188,let bygones be bygones,esquecer o passado
189,great minds think alike,mentes brilhantes pensam igual
190,i walked across the park,eu atravessei o parque
191,ill just play it by ear,eu apenas tocarei de ouvido
192,im not sure i can do it,nao tenho certeza se posso fazer isso
193,im not used to drinking,eu nao estou acostumado a beber
194,lets not waste our time,nao vamos perder nosso tempo
195,stop making noise,pare de fazer barulho
196,that makes no difference,isso nao faz diferenca
197,the price is reasonable,o preco e razoavel
198,i have a surprise for you,eu tenho uma surpresa para voce
199,ill have an appetizer,eu terei um aperitivo
